Project Name,Package Name,Type Name,Method Name,Code Smell
ant,(default package),AssertionTest,testAssertRaised,Empty catch clause
ant,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant,org.apache.tools.ant,AntClassLoader,findNextResource,Empty catch clause
ant,org.apache.tools.ant,AntClassLoader,setClassPath,Empty catch clause
ant,org.apache.tools.ant,AntClassLoader,addPathFile,Complex Method
ant,org.apache.tools.ant,AntClassLoader,addPathFile,Long Statement
ant,org.apache.tools.ant,AntClassLoader,addPathFile,Long Statement
ant,org.apache.tools.ant,AntClassLoader,initializeClass,Empty catch clause
ant,org.apache.tools.ant,AntClassLoader,getResourceAsStream,Complex Method
ant,org.apache.tools.ant,AntClassLoader,getResourceStream,Long Statement
ant,org.apache.tools.ant,AntClassLoader,getResource,Complex Method
ant,org.apache.tools.ant,AntClassLoader,findResources,Complex Conditional
ant,org.apache.tools.ant,AntClassLoader,definePackage,Complex Method
ant,org.apache.tools.ant,AntClassLoader,definePackage,Empty catch clause
ant,org.apache.tools.ant,AntClassLoader,definePackage,Long Statement
ant,org.apache.tools.ant,AntClassLoader,cleanup,Empty catch clause
ant,org.apache.tools.ant,AntClassLoader,isZip,Long Statement
ant,org.apache.tools.ant,AntClassLoader,isZip,Magic Number
ant,org.apache.tools.ant,ResourceEnumeration,findNextResource,Empty catch clause
ant,org.apache.tools.ant,AntTypeDefinition,icreate,Complex Conditional
ant,org.apache.tools.ant,AntTypeDefinition,checkClass,Complex Conditional
ant,org.apache.tools.ant,AntTypeDefinition,sameDefinition,Long Statement
ant,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Complex Conditional
ant,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Long Statement
ant,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Long Statement
ant,org.apache.tools.ant,ArgumentProcessorRegistry,collectArgumentProcessors,Long Statement
ant,org.apache.tools.ant,ArgumentProcessorRegistry,getProcessor,Long Statement
ant,org.apache.tools.ant,ArgumentProcessorRegistry,getProcessor,Long Statement
ant,org.apache.tools.ant,ComponentHelper,initSubProject,Long Statement
ant,org.apache.tools.ant,ComponentHelper,createNewTask,Long Statement
ant,org.apache.tools.ant,ComponentHelper,updateDataTypeDefinition,Long Statement
ant,org.apache.tools.ant,ComponentHelper,diagnoseCreationFailure,Complex Method
ant,org.apache.tools.ant,ComponentHelper,diagnoseCreationFailure,Long Method
ant,org.apache.tools.ant,DefaultLogger,messageLogged,Complex Method
ant,org.apache.tools.ant,Diagnostics,doReportTempDir,Complex Method
ant,org.apache.tools.ant,Diagnostics,doReportTempDir,Magic Number
ant,org.apache.tools.ant,Diagnostics,doReportLocale,Long Statement
ant,org.apache.tools.ant,Diagnostics,doReportProxy,Empty catch clause
ant,org.apache.tools.ant,Diagnostics,doReportProxy,Empty catch clause
ant,org.apache.tools.ant,Diagnostics,doReportProxy,Empty catch clause
ant,org.apache.tools.ant,Diagnostics,doReportProxy,Empty catch clause
ant,org.apache.tools.ant,DirectoryScanner,setBasedir,Long Statement
ant,org.apache.tools.ant,DirectoryScanner,scan,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,scan,Complex Method
ant,org.apache.tools.ant,DirectoryScanner,scan,Empty catch clause
ant,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Complex Method
ant,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Long Statement
ant,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Long Statement
ant,org.apache.tools.ant,DirectoryScanner,slowScan,Empty catch clause
ant,org.apache.tools.ant,DirectoryScanner,scandir,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,scandir,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,scandir,Complex Method
ant,org.apache.tools.ant,DirectoryScanner,scandir,Long Parameter List
ant,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Long Parameter List
ant,org.apache.tools.ant,DirectoryScanner,accountForNotFollowedSymlink,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,accountForNotFollowedSymlink,Long Statement
ant,org.apache.tools.ant,DirectoryScanner,processIncluded,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,processIncluded,Long Parameter List
ant,org.apache.tools.ant,DirectoryScanner,isIncluded,Long Statement
ant,org.apache.tools.ant,DirectoryScanner,couldHoldIncluded,Long Statement
ant,org.apache.tools.ant,DirectoryScanner,contentsExcluded,Long Statement
ant,org.apache.tools.ant,DirectoryScanner,isExcluded,Long Statement
ant,org.apache.tools.ant,DirectoryScanner,causesIllegalSymlinkLoop,Complex Conditional
ant,org.apache.tools.ant,DirectoryScanner,causesIllegalSymlinkLoop,Long Statement
ant,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
