Project Name,Package Name,Type Name,Code Smell
argouml,uci.beans.editors,ColorEditor,Deficient Encapsulation
argouml,uci.beans.editors,ColorEditor,Cyclic-Dependent Modularization
argouml,uci.beans.editors,ColorPickerGrid,Cyclic-Dependent Modularization
argouml,uci.beans.editors,ColorTilePanel,Deficient Encapsulation
argouml,uci.beans.editors,RectangleEditor,Unutilized Abstraction
argouml,uci.gef,Action,Wide Hierarchy
argouml,uci.gef,ActionAdjustGrid,Unutilized Abstraction
argouml,uci.gef,ActionAdjustGuide,Unutilized Abstraction
argouml,uci.gef,ActionAdjustPageBreaks,Unutilized Abstraction
argouml,uci.gef,ActionAlign,Deficient Encapsulation
argouml,uci.gef,ActionAlign,Cyclic-Dependent Modularization
argouml,uci.gef,ActionCreateNode,Unutilized Abstraction
argouml,uci.gef,ActionCreateNode,Deficient Encapsulation
argouml,uci.gef,ActionDelete,Unutilized Abstraction
argouml,uci.gef,ActionDispose,Unutilized Abstraction
argouml,uci.gef,ActionEditNode,Cyclic-Dependent Modularization
argouml,uci.gef,ActionGroup,Unutilized Abstraction
argouml,uci.gef,ActionInsertPoint,Unutilized Abstraction
argouml,uci.gef,ActionLoad,Unutilized Abstraction
argouml,uci.gef,ActionNudge,Deficient Encapsulation
argouml,uci.gef,ActionNull,Unutilized Abstraction
argouml,uci.gef,ActionOpenWindow,Unutilized Abstraction
argouml,uci.gef,ActionPrint,Unutilized Abstraction
argouml,uci.gef,ActionQuit,Unutilized Abstraction
argouml,uci.gef,ActionRemovePoint,Unutilized Abstraction
argouml,uci.gef,ActionReorder,Deficient Encapsulation
argouml,uci.gef,ActionReorder,Cyclic-Dependent Modularization
argouml,uci.gef,ActionReshape,Unutilized Abstraction
argouml,uci.gef,ActionReshape,Unexploited Encapsulation
argouml,uci.gef,ActionReshape,Missing Hierarchy
argouml,uci.gef,ActionResize,Unutilized Abstraction
argouml,uci.gef,ActionResize,Unexploited Encapsulation
argouml,uci.gef,ActionResize,Missing Hierarchy
argouml,uci.gef,ActionRotate,Unutilized Abstraction
argouml,uci.gef,ActionRotate,Unexploited Encapsulation
argouml,uci.gef,ActionRotate,Missing Hierarchy
argouml,uci.gef,ActionSave,Unutilized Abstraction
argouml,uci.gef,ActionScroll,Deficient Encapsulation
argouml,uci.gef,ActionSelectAll,Unutilized Abstraction
argouml,uci.gef,ActionSelectInvert,Unutilized Abstraction
argouml,uci.gef,ActionSelectNext,Unutilized Abstraction
argouml,uci.gef,ActionSelectNext,Deficient Encapsulation
argouml,uci.gef,ActionSequence,Unutilized Abstraction
argouml,uci.gef,ActionSetAttr,Unutilized Abstraction
argouml,uci.gef,ActionSetMode,Unutilized Abstraction
argouml,uci.gef,ActionShowURL,Unutilized Abstraction
argouml,uci.gef,ActionSpawn,Unutilized Abstraction
argouml,uci.gef,ActionUngroup,Unutilized Abstraction
argouml,uci.gef,ActiveList,Unutilized Abstraction
argouml,uci.gef,ArrowHeadNone,Unutilized Abstraction
argouml,uci.gef,ArrowHeadTriangle,Unutilized Abstraction
argouml,uci.gef,Editor,Deficient Encapsulation
argouml,uci.gef,Editor,Cyclic-Dependent Modularization
argouml,uci.gef,Editor,Insufficient Modularization
argouml,uci.gef,EditorFrame,Unutilized Abstraction
argouml,uci.gef,EditorFrame,Broken Hierarchy
argouml,uci.gef,ExecuteActionWindow,Unutilized Abstraction
argouml,uci.gef,Fig,Deficient Encapsulation
argouml,uci.gef,Fig,Cyclic-Dependent Modularization
argouml,uci.gef,Fig,Insufficient Modularization
argouml,uci.gef,FigCircle,Unutilized Abstraction
argouml,uci.gef,FigCircle,Deficient Encapsulation
argouml,uci.gef,FigEdge,Cyclic-Dependent Modularization
argouml,uci.gef,FigEdge,Insufficient Modularization
argouml,uci.gef,FigEdgeLine,Unutilized Abstraction
argouml,uci.gef,FigEdgeRectiline,Unutilized Abstraction
argouml,uci.gef,FigImage,Unutilized Abstraction
argouml,uci.gef,FigLine,Unutilized Abstraction
argouml,uci.gef,FigLine,Insufficient Modularization
argouml,uci.gef,FigNode,Deficient Encapsulation
argouml,uci.gef,FigNode,Cyclic-Dependent Modularization
argouml,uci.gef,FigPoly,Insufficient Modularization
argouml,uci.gef,FigRect,Unutilized Abstraction
argouml,uci.gef,FigRRect,Unutilized Abstraction
argouml,uci.gef,FigText,Deficient Encapsulation
argouml,uci.gef,FigText,Insufficient Modularization
argouml,uci.gef,ForwardingComponent,Unutilized Abstraction
