Project Name,Package Name,Type Name,Code Smell
argouml,Acme,IntHashtableEntry,Unutilized Abstraction
argouml,Acme,IntHashtableEnumerator,Unutilized Abstraction
argouml,Acme.JPM.Encoders,GifEncoder,Unutilized Abstraction
argouml,Acme.JPM.Encoders,GifEncoder,Broken Hierarchy
argouml,Acme.JPM.Encoders,GifEncoderHashitem,Unutilized Abstraction
argouml,Acme.JPM.Encoders,GifEncoderHashitem,Deficient Encapsulation
argouml,Acme.JPM.Encoders,ImageEncoder,Unutilized Abstraction
argouml,uci.argo.checklist,ChecklistStatus,Deficient Encapsulation
argouml,uci.argo.kernel,Agency,Deficient Encapsulation
argouml,uci.argo.kernel,Agency,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,ArgoConstants,Unutilized Abstraction
argouml,uci.argo.kernel,ArgoConstants,Deficient Encapsulation
argouml,uci.argo.kernel,ArgoConstants,Broken Modularization
argouml,uci.argo.kernel,ChildGenDMElements,Unutilized Abstraction
argouml,uci.argo.kernel,Clarifier,Unutilized Abstraction
argouml,uci.argo.kernel,CompoundCritic,Unutilized Abstraction
argouml,uci.argo.kernel,CompoundCritic,Insufficient Modularization
argouml,uci.argo.kernel,ControlMech,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Critic,Deficient Encapsulation
argouml,uci.argo.kernel,Critic,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Critic,Insufficient Modularization
argouml,uci.argo.kernel,Decision,Deficient Encapsulation
argouml,uci.argo.kernel,Design,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Designer,Deficient Encapsulation
argouml,uci.argo.kernel,Designer,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Designer,Insufficient Modularization
argouml,uci.argo.kernel,DesignMaterial,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,DesignMaterial,Insufficient Modularization
argouml,uci.argo.kernel,EnabledCM,Unutilized Abstraction
argouml,uci.argo.kernel,Goal,Deficient Encapsulation
argouml,uci.argo.kernel,History,Deficient Encapsulation
argouml,uci.argo.kernel,History,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,HistoryEvent,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,HistoryItem,Deficient Encapsulation
argouml,uci.argo.kernel,HistoryItem,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,HistoryItemCritique,Unutilized Abstraction
argouml,uci.argo.kernel,HistoryItemManipulation,Unutilized Abstraction
argouml,uci.argo.kernel,HistoryItemResolve,Unutilized Abstraction
argouml,uci.argo.kernel,HistoryListener,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Poster,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,SnoozeOrder,Unutilized Abstraction
argouml,uci.argo.kernel,StandardCM,Unutilized Abstraction
argouml,uci.argo.kernel,StandardCM,Broken Hierarchy
argouml,uci.argo.kernel,NotSnoozedCM,Unutilized Abstraction
argouml,uci.argo.kernel,DesignGoalsCM,Unutilized Abstraction
argouml,uci.argo.kernel,CurDecisionCM,Unutilized Abstraction
argouml,uci.argo.kernel,CompositeCM,Unutilized Abstraction
argouml,uci.argo.kernel,CompositeCM,Broken Hierarchy
argouml,uci.argo.kernel,AndCM,Unutilized Abstraction
argouml,uci.argo.kernel,AndCM,Broken Hierarchy
argouml,uci.argo.kernel,OrCM,Unutilized Abstraction
argouml,uci.argo.kernel,OrCM,Broken Hierarchy
argouml,uci.argo.kernel,ToDoItem,Deficient Encapsulation
argouml,uci.argo.kernel,ToDoItem,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,ToDoItem,Insufficient Modularization
argouml,uci.argo.kernel,ToDoList,Deficient Encapsulation
argouml,uci.argo.kernel,ToDoList,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,ToDoList,Insufficient Modularization
argouml,uci.argo.kernel,Wizard,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Wizard,Insufficient Modularization
argouml,uci.beans.editors,ColorEditor,Deficient Encapsulation
argouml,uci.beans.editors,ColorEditor,Cyclic-Dependent Modularization
argouml,uci.beans.editors,ColorPickerGrid,Cyclic-Dependent Modularization
argouml,uci.beans.editors,ColorTilePanel,Deficient Encapsulation
argouml,uci.beans.editors,ColorTilePanel,Insufficient Modularization
argouml,uci.beans.editors,RectangleEditor,Unutilized Abstraction
argouml,uci.gef,ArrowHead,Cyclic-Dependent Modularization
argouml,uci.gef,ArrowHeadComposite,Unutilized Abstraction
argouml,uci.gef,ArrowHeadDiamond,Deficient Encapsulation
argouml,uci.gef,ArrowHeadGreater,Deficient Encapsulation
argouml,uci.gef,ArrowHeadHalfTriangle,Unutilized Abstraction
argouml,uci.gef,ArrowHeadNone,Deficient Encapsulation
argouml,uci.gef,ArrowHeadQualifier,Unutilized Abstraction
argouml,uci.gef,ArrowHeadTriangle,Unutilized Abstraction
argouml,uci.gef,Cmd,Deficient Encapsulation
argouml,uci.gef,Cmd,Wide Hierarchy
argouml,uci.gef,CmdAdjustGrid,Unutilized Abstraction
argouml,uci.gef,CmdAdjustGuide,Unutilized Abstraction
argouml,uci.gef,CmdAdjustPageBreaks,Unutilized Abstraction
argouml,uci.gef,CmdAlign,Deficient Encapsulation
argouml,uci.gef,CmdAlign,Cyclic-Dependent Modularization
argouml,uci.gef,CmdCopy,Unutilized Abstraction
argouml,uci.gef,SimpleSelection,Unutilized Abstraction
argouml,uci.gef,CmdCreateNode,Unutilized Abstraction
argouml,uci.gef,CmdCreateNode,Deficient Encapsulation
argouml,uci.gef,CmdDelete,Unutilized Abstraction
argouml,uci.gef,CmdDispose,Unutilized Abstraction
argouml,uci.gef,CmdDistribute,Deficient Encapsulation
argouml,uci.gef,CmdExit,Unutilized Abstraction
argouml,uci.gef,CmdGroup,Unutilized Abstraction
argouml,uci.gef,CmdInsertPoint,Unutilized Abstraction
argouml,uci.gef,CmdNudge,Deficient Encapsulation
argouml,uci.gef,CmdNull,Unutilized Abstraction
argouml,uci.gef,CmdOpen,Unutilized Abstraction
argouml,uci.gef,CmdOpenPGML,Unutilized Abstraction
argouml,uci.gef,CmdOpenWindow,Unutilized Abstraction
argouml,uci.gef,CmdPaste,Unutilized Abstraction
argouml,uci.gef,CmdPrint,Unutilized Abstraction
argouml,uci.gef,CmdPrint,Deficient Encapsulation
argouml,uci.gef,CmdRemovePoint,Unutilized Abstraction
argouml,uci.gef,CmdReorder,Deficient Encapsulation
argouml,uci.gef,CmdReorder,Cyclic-Dependent Modularization
argouml,uci.gef,CmdSave,Unutilized Abstraction
argouml,uci.gef,CmdSaveGIF,Unutilized Abstraction
argouml,uci.gef,CmdSaveGIF,Deficient Encapsulation
argouml,uci.gef,TransFilter,Unutilized Abstraction
argouml,uci.gef,CmdSavePGML,Unutilized Abstraction
argouml,uci.gef,CmdScroll,Deficient Encapsulation
argouml,uci.gef,CmdSelectAll,Unutilized Abstraction
argouml,uci.gef,CmdSelectInvert,Unutilized Abstraction
argouml,uci.gef,CmdSelectNear,Deficient Encapsulation
argouml,uci.gef,CmdSelectNext,Unutilized Abstraction
argouml,uci.gef,CmdSelectNext,Deficient Encapsulation
argouml,uci.gef,CmdSequence,Unutilized Abstraction
argouml,uci.gef,CmdSetMode,Unutilized Abstraction
argouml,uci.gef,CmdShowProperties,Unutilized Abstraction
argouml,uci.gef,CmdShowURL,Unutilized Abstraction
argouml,uci.gef,CmdSpawn,Unutilized Abstraction
argouml,uci.gef,CmdUngroup,Unutilized Abstraction
argouml,uci.gef,CmdUseReshape,Unutilized Abstraction
argouml,uci.gef,CmdUseReshape,Unexploited Encapsulation
argouml,uci.gef,CmdUseReshape,Missing Hierarchy
argouml,uci.gef,CmdUseResize,Unutilized Abstraction
argouml,uci.gef,CmdUseResize,Unexploited Encapsulation
argouml,uci.gef,CmdUseResize,Missing Hierarchy
argouml,uci.gef,CmdUseRotate,Unutilized Abstraction
argouml,uci.gef,CmdUseRotate,Unexploited Encapsulation
argouml,uci.gef,CmdUseRotate,Missing Hierarchy
argouml,uci.gef,Diagram,Deficient Encapsulation
argouml,uci.gef,Diagram,Cyclic-Dependent Modularization
argouml,uci.gef,Diagram,Insufficient Modularization
argouml,uci.gef,Editor,Deficient Encapsulation
argouml,uci.gef,Editor,Cyclic-Dependent Modularization
argouml,uci.gef,Editor,Insufficient Modularization
argouml,uci.gef,Fig,Deficient Encapsulation
argouml,uci.gef,Fig,Cyclic-Dependent Modularization
argouml,uci.gef,Fig,Insufficient Modularization
argouml,uci.gef,FigCircle,Unutilized Abstraction
argouml,uci.gef,FigCircle,Deficient Encapsulation
argouml,uci.gef,FigEdge,Cyclic-Dependent Modularization
argouml,uci.gef,FigEdge,Insufficient Modularization
argouml,uci.gef,PathItem,Cyclic-Dependent Modularization
argouml,uci.gef,FigEdgeLine,Unutilized Abstraction
argouml,uci.gef,FigEdgeLineDotted,Unutilized Abstraction
argouml,uci.gef,FigEdgeRectiline,Unutilized Abstraction
argouml,uci.gef,FigGroup,Insufficient Modularization
argouml,uci.gef,FigImage,Unutilized Abstraction
argouml,uci.gef,FigLine,Insufficient Modularization
argouml,uci.gef,FigNode,Deficient Encapsulation
argouml,uci.gef,FigNode,Cyclic-Dependent Modularization
argouml,uci.gef,FigNode,Insufficient Modularization
argouml,uci.gef,FigPoly,Deficient Encapsulation
argouml,uci.gef,FigPoly,Insufficient Modularization
argouml,uci.gef,FigRect,Unutilized Abstraction
argouml,uci.gef,FigRRect,Unutilized Abstraction
argouml,uci.gef,FigText,Deficient Encapsulation
argouml,uci.gef,FigText,Cyclic-Dependent Modularization
argouml,uci.gef,FigText,Insufficient Modularization
