Project Name,Package Name,Type Name,Code Smell
argouml,com.nwalsh.saxon,CalloutEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,ColumnUpdateEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,CopyEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,CVS,Unutilized Abstraction
argouml,com.nwalsh.saxon,FormatGraphicCallout,Unutilized Abstraction
argouml,com.nwalsh.saxon,FormatTextCallout,Unutilized Abstraction
argouml,com.nwalsh.saxon,FormatUnicodeCallout,Unutilized Abstraction
argouml,com.nwalsh.saxon,NumberLinesEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,StartElementInfo,Unutilized Abstraction
argouml,com.nwalsh.saxon,Text,Unutilized Abstraction
argouml,com.nwalsh.saxon,TextFactory,Unutilized Abstraction
argouml,com.nwalsh.saxon,Callout,Unutilized Abstraction
argouml,com.nwalsh.saxon,CalloutEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,StartElementInfo,Unutilized Abstraction
argouml,com.nwalsh.saxon,ColumnScanEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,ColumnUpdateEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,CopyEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,CVS,Unutilized Abstraction
argouml,com.nwalsh.saxon,FormatCallout,Unutilized Abstraction
argouml,com.nwalsh.saxon,FormatGraphicCallout,Unutilized Abstraction
argouml,com.nwalsh.saxon,FormatTextCallout,Unutilized Abstraction
argouml,com.nwalsh.saxon,FormatUnicodeCallout,Unutilized Abstraction
argouml,com.nwalsh.saxon,LineCountEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,NumberLinesEmitter,Unutilized Abstraction
argouml,com.nwalsh.saxon,StartElementInfo,Unutilized Abstraction
argouml,com.nwalsh.saxon,Table,Unutilized Abstraction
argouml,com.nwalsh.saxon,Text,Unutilized Abstraction
argouml,com.nwalsh.saxon,TextFactory,Unutilized Abstraction
argouml,com.nwalsh.saxon,Verbatim,Unutilized Abstraction
argouml,com.nwalsh.xalan,Callout,Deficient Encapsulation
argouml,com.nwalsh.xalan,CVS,Unutilized Abstraction
