Project Name,Package Name,Type Name,Code Smell
argouml,org.argouml.uml.reveng.classfile,ByteToken,Unutilized Abstraction
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,Unutilized Abstraction
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,Deficient Encapsulation
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,Broken Hierarchy
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,Insufficient Modularization
argouml,org.argouml.uml.reveng.classfile,ClassfileParserTokenTypes,Unnecessary Abstraction
argouml,org.argouml.uml.reveng.classfile,ClassfileParserTokenTypes,Unutilized Abstraction
argouml,org.argouml.uml.reveng.classfile,ClassfileTokenTypes,Unutilized Abstraction
argouml,org.argouml.uml.reveng.classfile,ClassfileTokenTypes,Broken Modularization
argouml,org.argouml.uml.reveng.classfile,ClassfileTreeParser,Unutilized Abstraction
argouml,org.argouml.uml.reveng.classfile,ClassfileTreeParser,Deficient Encapsulation
argouml,org.argouml.uml.reveng.classfile,ClassfileTreeParser,Broken Hierarchy
argouml,org.argouml.uml.reveng.classfile,ClassfileTreeParserTokenTypes,Unutilized Abstraction
argouml,org.argouml.uml.reveng.classfile,ClassfileTreeParserTokenTypes,Broken Modularization
argouml,org.argouml.uml.reveng.classfile,ObjectAST,Unutilized Abstraction
argouml,org.argouml.uml.reveng.classfile,SimpleByteLexer,Unutilized Abstraction
argouml,org.argouml.uml.reveng.classfile,SimpleByteLexer,Broken Hierarchy
argouml,org.argouml.util,ClassFileFilter,Unutilized Abstraction
argouml,org.argouml.util,ChangeRegistry,Cyclic-Dependent Modularization
argouml,org.argouml.util,ConfigLoader,Cyclic-Dependent Modularization
argouml,org.argouml.util,FileConstants,Unnecessary Abstraction
argouml,org.argouml.util,FileConstants,Deficient Encapsulation
argouml,org.argouml.util,FileFilters,Deficient Encapsulation
argouml,org.argouml.util,LinkedHashMap,Insufficient Modularization
argouml,org.argouml.util,Entry,Unutilized Abstraction
argouml,org.argouml.util,SetIterator,Unutilized Abstraction
