Project Name,Package Name,Type Name,Code Smell
argouml,uci.argo.kernel,Agency,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Trigger,Unutilized Abstraction
argouml,uci.argo.kernel,ArgoConstants,Unutilized Abstraction
argouml,uci.argo.kernel,ArgoConstants,Deficient Encapsulation
argouml,uci.argo.kernel,ArgoConstants,Broken Modularization
argouml,uci.argo.kernel,ChildGenDMElements,Unutilized Abstraction
argouml,uci.argo.kernel,CompositeCritic,Unutilized Abstraction
argouml,uci.argo.kernel,ControlMech,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,EnabledCM,Unutilized Abstraction
argouml,uci.argo.kernel,NotHushedCM,Unutilized Abstraction
argouml,uci.argo.kernel,DesignGoalsCM,Unutilized Abstraction
argouml,uci.argo.kernel,CurDecisionCM,Unutilized Abstraction
argouml,uci.argo.kernel,CompositeCM,Unutilized Abstraction
argouml,uci.argo.kernel,CompositeCM,Broken Hierarchy
argouml,uci.argo.kernel,AndCM,Unutilized Abstraction
argouml,uci.argo.kernel,AndCM,Broken Hierarchy
argouml,uci.argo.kernel,OrCM,Unutilized Abstraction
argouml,uci.argo.kernel,OrCM,Broken Hierarchy
argouml,uci.argo.kernel,StandardCM,Unutilized Abstraction
argouml,uci.argo.kernel,StandardCM,Broken Hierarchy
argouml,uci.argo.kernel,Critic,Deficient Encapsulation
argouml,uci.argo.kernel,Critic,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Critic,Insufficient Modularization
argouml,uci.argo.kernel,Decision,Deficient Encapsulation
argouml,uci.argo.kernel,Design,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Designer,Deficient Encapsulation
argouml,uci.argo.kernel,Designer,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,Designer,Insufficient Modularization
argouml,uci.argo.kernel,DesignMaterial,Deficient Encapsulation
argouml,uci.argo.kernel,DesignMaterial,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,DesignMaterial,Insufficient Modularization
argouml,uci.argo.kernel,Goal,Deficient Encapsulation
argouml,uci.argo.kernel,History,Deficient Encapsulation
argouml,uci.argo.kernel,History,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,HistoryEvent,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,HistoryItem,Deficient Encapsulation
argouml,uci.argo.kernel,HistoryItem,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,HistoryItemCritique,Unutilized Abstraction
argouml,uci.argo.kernel,HistoryItemManipulation,Unutilized Abstraction
argouml,uci.argo.kernel,HistoryItemResolve,Unutilized Abstraction
argouml,uci.argo.kernel,HistoryListener,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,HushOrder,Unutilized Abstraction
argouml,uci.argo.kernel,Poster,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,ToDoItem,Deficient Encapsulation
argouml,uci.argo.kernel,ToDoItem,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,ToDoItem,Insufficient Modularization
argouml,uci.argo.kernel,ToDoList,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,ToDoList,Insufficient Modularization
argouml,uci.argo.kernel,ToDoListEvent,Cyclic-Dependent Modularization
argouml,uci.argo.kernel,ToDoListListener,Cyclic-Dependent Modularization
argouml,uci.beans.editors,ColorEditor,Deficient Encapsulation
argouml,uci.beans.editors,ColorEditor,Cyclic-Dependent Modularization
argouml,uci.beans.editors,ColorPickerGrid,Cyclic-Dependent Modularization
argouml,uci.beans.editors,ColorTilePanel,Deficient Encapsulation
argouml,uci.beans.editors,ColorTilePanel,Insufficient Modularization
