Project Name,Package Name,Type Name,Method Name,Code Smell
argouml,org.argouml.uml.reveng.classfile,ByteToken,getShortValue,Magic Number
argouml,org.argouml.uml.reveng.classfile,ByteToken,getIntValue,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileImport,processJarFile,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileImport,parseFile,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,initPoolBuffer,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,getConstant,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,convertDescriptor,Complex Method
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,convertMethodDescriptor,Complex Method
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,convertMethodDescriptor,Long Method
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,convertMethodDescriptor,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,convertMethodDescriptor,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,magic_number,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,magic_number,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,version_number,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_pool,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_pool,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,type_definition,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,type_definition,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,type_definition,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,type_definition,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,type_definition,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,type_definition,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,type_definition,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,type_definition,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,u4,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,u4,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,u4,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,u4,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,u2,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,cp_info,Complex Method
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,cp_info,Long Method
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_class_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_fieldref_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_methodref_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_interface_methodref_info,Long Identifier
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_interface_methodref_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_string_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_integer_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_float_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_long_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_long_info,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_double_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_double_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_double_info,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_name_and_type_info,Long Identifier
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_name_and_type_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,constant_utf8_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,access_modifiers,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,class_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,superclass_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,interface_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,field_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,field_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,field_info,Magic Number
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,attribute_info,Complex Conditional
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,attribute_info,Complex Method
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,attribute_info,Empty catch clause
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,attribute_info,Long Method
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,attribute_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,attribute_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,attribute_info,Long Statement
argouml,org.argouml.uml.reveng.classfile,ClassfileParser,attribute_info,Long Statement
