Project Name,Package Name,Type Name,Method Name,Code Smell
argouml,org.argouml.model.mdr,ActivityGraphsFactoryMDRImpl,createClassifierInState,Long Statement
argouml,org.argouml.model.mdr,ActivityGraphsFactoryMDRImpl,createObjectFlowState,Long Statement
argouml,org.argouml.model.mdr,ActivityGraphsFactoryMDRImpl,createSubactivityState,Long Statement
argouml,org.argouml.model.mdr,CollaborationsFactoryMDRImpl,buildAssociationRole,Long Parameter List
argouml,org.argouml.model.mdr,CollaborationsFactoryMDRImpl,buildMessageInteraction,Magic Number
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,getClassifierRoles,Complex Method
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,getAllPossibleActivators,Complex Conditional
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setActivator,Complex Method
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setActivator,Long Statement
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setActivator,Long Statement
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setActivator,Long Statement
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,getAllPossiblePredecessors,Complex Conditional
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,getAllPossiblePredecessors,Long Statement
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,addBase,Complex Method
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,addBase,Long Statement
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,getAllPossibleBases,Complex Method
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,getAllPossibleBases,Long Statement
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setBase,Complex Method
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,addPredecessor,Complex Conditional
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setAction,Complex Conditional
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setContext,Complex Conditional
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setRepresentedClassifier,Complex Conditional
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setRepresentedOperation,Complex Conditional
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,setSender,Complex Conditional
argouml,org.argouml.model.mdr,CollaborationsHelperMDRImpl,removeInteraction,Long Statement
argouml,org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,buildAction,Long Statement
argouml,org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,buildStimulus,Complex Conditional
argouml,org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,buildStimulus,Long Statement
argouml,org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,buildStimulus,Long Statement
argouml,org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,deleteAction,Long Statement
argouml,org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,deleteInstance,Long Statement
argouml,org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,deleteLinkEnd,Complex Conditional
