Project Name,Package Name,Type Name,Code Smell
argouml,org.argouml.dev,DeveloperModule,Unutilized Abstraction
argouml,org.argouml.dev,RefreshAction,Unutilized Abstraction
argouml,org.argouml.dev,ClearAction,Unutilized Abstraction
argouml,org.argouml.dev,UndoManagerWrapper,Unutilized Abstraction
argouml,org.argouml.tools.ui,ActionExecSilk,Unutilized Abstraction
argouml,org.argouml.application.api,Argo,Deficient Encapsulation
argouml,org.argouml.application.api,ArgoEventListener,Unnecessary Abstraction
argouml,org.argouml.application.api,GUITestCommandLineInterface,Unutilized Abstraction
argouml,org.argouml.application.api,GUITestInitSubsystem,Unutilized Abstraction
argouml,org.argouml.application.events,ArgoEvent,Broken Hierarchy
argouml,org.argouml.application.events,ArgoEventPump,Unexploited Encapsulation
argouml,org.argouml.application.events,ArgoEventPump,Missing Hierarchy
argouml,org.argouml.application.events,ArgoEventTypes,Broken Modularization
argouml,org.argouml.application.events,TestArgoEventPump,Unutilized Abstraction
argouml,org.argouml.application.events,TestArgoEventPump,Insufficient Modularization
argouml,org.argouml.application.events,EventTracker,Unutilized Abstraction
argouml,org.argouml.application.events,TArgoDiagramAppearanceEventListener,Broken Hierarchy
argouml,org.argouml.application.events,TArgoGeneratorEventListener,Broken Hierarchy
argouml,org.argouml.application.events,TArgoHelpEventListener,Broken Hierarchy
argouml,org.argouml.application.events,TArgoNotationEventListener,Broken Hierarchy
argouml,org.argouml.application.events,TArgoProfileEventListener,Broken Hierarchy
argouml,org.argouml.application.events,TArgoStatusEventListener,Broken Hierarchy
argouml,org.argouml.application,Main,Deficient Encapsulation
argouml,org.argouml.application,PostLoad,Unutilized Abstraction
argouml,org.argouml.application,LoadModules,Unutilized Abstraction
argouml,org.argouml.application,StartCritics,Unutilized Abstraction
argouml,org.argouml.application.security,ArgoAwtExceptionHandler,Unutilized Abstraction
argouml,org.argouml.cognitive,Agency,Cyclic-Dependent Modularization
argouml,org.argouml.cognitive,CompoundCritic,Insufficient Modularization
argouml,org.argouml.cognitive,ControlMech,Cyclic-Dependent Modularization
argouml,org.argouml.cognitive,Critic,Deficient Encapsulation
argouml,org.argouml.cognitive,Critic,Cyclic-Dependent Modularization
argouml,org.argouml.cognitive,Critic,Insufficient Modularization
argouml,org.argouml.cognitive,Decision,Deficient Encapsulation
argouml,org.argouml.cognitive,Designer,Deficient Encapsulation
argouml,org.argouml.cognitive,Designer,Cyclic-Dependent Modularization
argouml,org.argouml.cognitive,Designer,Insufficient Modularization
argouml,org.argouml.cognitive,EmptyChildGenerator,Unutilized Abstraction
argouml,org.argouml.cognitive,Highlightable,Unutilized Abstraction
argouml,org.argouml.cognitive,ListSet,Insufficient Modularization
argouml,org.argouml.cognitive,Offender,Unutilized Abstraction
argouml,org.argouml.cognitive,Poster,Cyclic-Dependent Modularization
argouml,org.argouml.cognitive,ResolvedCritic,Cyclic-Dependent Modularization
argouml,org.argouml.cognitive,StandardCM,Unutilized Abstraction
argouml,org.argouml.cognitive,StandardCM,Broken Hierarchy
argouml,org.argouml.cognitive,CompositeCM,Unutilized Abstraction
argouml,org.argouml.cognitive,CompositeCM,Broken Hierarchy
argouml,org.argouml.cognitive,AndCM,Unutilized Abstraction
argouml,org.argouml.cognitive,AndCM,Broken Hierarchy
argouml,org.argouml.cognitive,OrCM,Unutilized Abstraction
argouml,org.argouml.cognitive,OrCM,Broken Hierarchy
argouml,org.argouml.cognitive,ToDoItem,Deficient Encapsulation
