Project Name,Package Name,Type Name,Method Name,Code Smell
argouml,com.nwalsh.saxon,CalloutEmitter,setupCallouts,Complex Method
argouml,com.nwalsh.saxon,CalloutEmitter,setupCallouts,Magic Number
argouml,com.nwalsh.saxon,CalloutEmitter,characters,Complex Conditional
argouml,com.nwalsh.saxon,CalloutEmitter,characters,Complex Conditional
argouml,com.nwalsh.saxon,CalloutEmitter,characters,Complex Method
argouml,com.nwalsh.saxon,CalloutEmitter,characters,Long Statement
argouml,com.nwalsh.saxon,CalloutEmitter,characters,Long Statement
argouml,com.nwalsh.saxon,CalloutEmitter,characters,Long Statement
argouml,com.nwalsh.saxon,CalloutEmitter,characters,Long Statement
argouml,com.nwalsh.saxon,CalloutEmitter,characters,Long Statement
argouml,com.nwalsh.saxon,CalloutEmitter,addCallout,Complex Conditional
argouml,com.nwalsh.saxon,CalloutEmitter,addCallout,Complex Method
argouml,com.nwalsh.saxon,CalloutEmitter,addCallout,Magic Number
argouml,com.nwalsh.saxon,CalloutEmitter,addCallout,Magic Number
argouml,com.nwalsh.saxon,CalloutEmitter,addCallout,Magic Number
argouml,com.nwalsh.saxon,CalloutEmitter,skipThisElement,Complex Conditional
argouml,com.nwalsh.saxon,CalloutEmitter,skipThisElement,Long Statement
argouml,com.nwalsh.saxon,CalloutEmitter,openClosedElements,Complex Conditional
argouml,com.nwalsh.saxon,CalloutEmitter,openClosedElements,Long Statement
argouml,com.nwalsh.saxon,ColumnScanEmitter,startElement,Magic Number
argouml,com.nwalsh.saxon,CVS,localTime,Empty catch clause
argouml,com.nwalsh.saxon,CVS,localTime,Long Statement
argouml,com.nwalsh.saxon,CVS,localTime,Magic Number
argouml,com.nwalsh.saxon,CVS,localTime,Magic Number
argouml,com.nwalsh.saxon,CVS,localTime,Magic Number
argouml,com.nwalsh.saxon,CVS,localTime,Magic Number
argouml,com.nwalsh.saxon,CVS,localTime,Magic Number
argouml,com.nwalsh.saxon,CVS,localTime,Magic Number
argouml,com.nwalsh.saxon,CVS,localTime,Magic Number
