Project Name,Package Name,Type Name,Method Name,Code Smell
argouml,org.argouml.dev,DeveloperModule,enable,Magic Number
argouml,org.argouml.dev,DeveloperModule,getInfo,Missing default
argouml,org.argouml.dev,TargetManagerPanel,TargetManagerPanel,Magic Number
argouml,org.argouml.dev,TargetManagerPanel,TargetManagerPanel,Magic Number
argouml,org.argouml.dev,TargetManagerPanel,TargetManagerPanel,Magic Number
argouml,org.argouml.dev,TargetManagerPanel,TargetManagerPanel,Magic Number
argouml,org.argouml.dev.figinspector,FigInspectorPanel,getDescr,Long Statement
argouml,org.argouml.tools.ui,ActionExecSilk,inContext,Magic Number
argouml,org.argouml.application.api,AbstractArgoJPanel,spawn,Magic Number
argouml,org.argouml.application.events,ArgoEvent,getEventEndRange,Magic Number
argouml,org.argouml.application.events,ArgoEvent,toString,Long Statement
argouml,org.argouml.application.events,ArgoEventPump,fireNotationEventInternal,Missing default
argouml,org.argouml.application.events,ArgoEventPump,fireDiagramAppearanceEventInternal,Missing default
argouml,org.argouml.application.events,ArgoEventPump,handleFireHelpEvent,Missing default
argouml,org.argouml.application.events,ArgoEventPump,handleFireStatusEvent,Missing default
argouml,org.argouml.application.events,ArgoEventPump,handleFireProfileEvent,Missing default
argouml,org.argouml.application.events,ArgoEventPump,handleFireGeneratorEvent,Missing default
argouml,org.argouml.application.events,ArgoEventPump,handleFireEvent,Complex Method
argouml,org.argouml.application.events,ArgoEventPump,handleFireEvent,Long Statement
argouml,org.argouml.application.events,ArgoEventPump,handleFireEvent,Long Statement
argouml,org.argouml.application.events,ArgoEventPump,handleFireEvent,Long Statement
argouml,org.argouml.application.events,ArgoEventPump,handleFireEvent,Long Statement
argouml,org.argouml.application.events,ArgoEventPump,handleFireEvent,Long Statement
argouml,org.argouml.application.events,TestArgoEventPump,TArgoGeneratorEventListener,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,generatorRemoved,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,TArgoHelpEventListener,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,TArgoNotationEventListener,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,notationRemoved,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,notationProviderAdded,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,notationProviderRemoved,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,TArgoProfileEventListener,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,TArgoStatusEventListener,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,projectSaved,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,projectLoaded,Magic Number
argouml,org.argouml.application.events,TestArgoEventPump,projectModified,Magic Number
argouml,org.argouml.application.events,TArgoGeneratorEventListener,TArgoGeneratorEventListener,Magic Number
argouml,org.argouml.application.events,TArgoGeneratorEventListener,generatorRemoved,Magic Number
argouml,org.argouml.application.events,TArgoHelpEventListener,TArgoHelpEventListener,Magic Number
argouml,org.argouml.application.events,TArgoNotationEventListener,TArgoNotationEventListener,Magic Number
argouml,org.argouml.application.events,TArgoNotationEventListener,notationRemoved,Magic Number
argouml,org.argouml.application.events,TArgoNotationEventListener,notationProviderAdded,Magic Number
argouml,org.argouml.application.events,TArgoNotationEventListener,notationProviderRemoved,Magic Number
argouml,org.argouml.application.events,TArgoProfileEventListener,TArgoProfileEventListener,Magic Number
argouml,org.argouml.application.events,TArgoStatusEventListener,TArgoStatusEventListener,Magic Number
argouml,org.argouml.application.events,TArgoStatusEventListener,projectSaved,Magic Number
argouml,org.argouml.application.events,TArgoStatusEventListener,projectLoaded,Magic Number
argouml,org.argouml.application.events,TArgoStatusEventListener,projectModified,Magic Number
argouml,org.argouml.application.helpers,ApplicationVersion,getManualForCritic,Long Statement
argouml,org.argouml.application.helpers,ResourceLoaderWrapper,initResourceLoader,Long Identifier
argouml,org.argouml.application.helpers,ResourceLoaderWrapper,lookupIcon,Complex Method
argouml,org.argouml.application,Main,main,Complex Method
argouml,org.argouml.application,Main,main,Magic Number
argouml,org.argouml.application,Main,main,Magic Number
argouml,org.argouml.application,Main,main,Magic Number
argouml,org.argouml.application,Main,parseCommandLine,Complex Conditional
argouml,org.argouml.application,Main,parseCommandLine,Complex Method
argouml,org.argouml.application,Main,parseCommandLine,Long Statement
argouml,org.argouml.application,Main,initializeSubsystems,Magic Number
argouml,org.argouml.application,Main,openProject,Magic Number
argouml,org.argouml.application,Main,checkJVMVersion,Long Statement
argouml,org.argouml.application,Main,performCommandsInternal,Long Statement
argouml,org.argouml.application,Main,initializeSplash,Empty catch clause
argouml,org.argouml.application,Main,initializeGUI,Long Statement
argouml,org.argouml.application,Main,initializeGUI,Magic Number
argouml,org.argouml.application,Main,initializeGUI,Magic Number
argouml,org.argouml.application,PostLoad,run,Magic Number
