Project Name,Package Name,Type Name,Code Smell
xerces2-j,(default package),DesignDoc,Unutilized Abstraction
xerces2-j,(default package),DesignDoc,Deficient Encapsulation
xerces2-j,(default package),DesignDoc,Insufficient Modularization
xerces2-j,(default package),IndentingWriter,Unutilized Abstraction
xerces2-j,(default package),Stylesheet,Unutilized Abstraction
xerces2-j,dom,DOMGenerate,Unutilized Abstraction
xerces2-j,dom,DocumentInfo,Unutilized Abstraction
xerces2-j,dom,DTest,Deficient Encapsulation
xerces2-j,dom,DTest,Insufficient Modularization
xerces2-j,dom.traversal,Errors,Unutilized Abstraction
xerces2-j,dom.traversal,Errors,Unutilized Abstraction
xerces2-j,dom.wrappers,Xerces,Unutilized Abstraction
xerces2-j,sax,DocumentTracer,Insufficient Modularization
xerces2-j,sax,Writer,Insufficient Modularization
xerces2-j,sax.helpers,AttributesImpl,Deficient Encapsulation
xerces2-j,sax.helpers,AttributesImpl,Insufficient Modularization
xerces2-j,sax.helpers,ListNode,Deficient Encapsulation
xerces2-j,socket,DelayedInputStream,Unutilized Abstraction
xerces2-j,socket,KeepSocketOpen,Unutilized Abstraction
xerces2-j,socket,InputStreamReporter,Unutilized Abstraction
xerces2-j,socket.io,WrappedOutputStream,Deficient Encapsulation
xerces2-j,ui,Model,Unutilized Abstraction
xerces2-j,ui,DOMTreeFull,Deficient Encapsulation
xerces2-j,ui,Model,Unutilized Abstraction
xerces2-j,ui,TreeView,Insufficient Modularization
xerces2-j,ui,XMLTreeCellRenderer,Unutilized Abstraction
xerces2-j,ui,FileNameInput,Unutilized Abstraction
xerces2-j,ui,ErrorStorer,Unutilized Abstraction
xerces2-j,ui,ParseError,Unutilized Abstraction
xerces2-j,ui,TreeViewer,Unutilized Abstraction
xerces2-j,xni,DocumentTracer,Insufficient Modularization
xerces2-j,xni,PassThroughFilter,Unutilized Abstraction
xerces2-j,xni,PSVIWriter,Deficient Encapsulation
xerces2-j,xni,PSVIWriter,Insufficient Modularization
xerces2-j,xni,ElementState,Unutilized Abstraction
xerces2-j,xni,ElementState,Deficient Encapsulation
xerces2-j,xni,UpperCaseFilter,Unutilized Abstraction
xerces2-j,xni,XMLGrammarBuilder,Imperative Abstraction
xerces2-j,xni,XMLGrammarBuilder,Deficient Encapsulation
xerces2-j,xni.parser,AbstractConfiguration,Unutilized Abstraction
xerces2-j,xni.parser,CSVConfiguration,Unutilized Abstraction
xerces2-j,xni.parser,CSVParser,Unutilized Abstraction
xerces2-j,xni.parser,NonValidatingParserConfiguration,Unutilized Abstraction
xerces2-j,xni.parser,PSVIConfiguration,Unutilized Abstraction
xerces2-j,xni.parser,PSVIParser,Unutilized Abstraction
xerces2-j,org.w3c.dom,Attr,Broken Hierarchy
xerces2-j,org.w3c.dom,CDATASection,Unnecessary Abstraction
xerces2-j,org.w3c.dom,CharacterData,Broken Hierarchy
xerces2-j,org.w3c.dom,Comment,Unnecessary Abstraction
xerces2-j,org.w3c.dom,Document,Broken Hierarchy
xerces2-j,org.w3c.dom,Document,Insufficient Modularization
xerces2-j,org.w3c.dom,DocumentFragment,Unnecessary Abstraction
xerces2-j,org.w3c.dom,DocumentType,Broken Hierarchy
xerces2-j,org.w3c.dom,DOMError,Deficient Encapsulation
xerces2-j,org.w3c.dom,DOMException,Deficient Encapsulation
xerces2-j,org.w3c.dom,DOMImplementationList,Unutilized Abstraction
xerces2-j,org.w3c.dom,DOMStringList,Unutilized Abstraction
xerces2-j,org.w3c.dom,Element,Broken Hierarchy
