Project Name,Package Name,Type Name,Code Smell
xerces2-j,(default package),DesignDoc,Unutilized Abstraction
xerces2-j,(default package),DesignDoc,Deficient Encapsulation
xerces2-j,(default package),DesignDoc,Insufficient Modularization
xerces2-j,(default package),IndentingWriter,Unutilized Abstraction
xerces2-j,(default package),Stylesheet,Unutilized Abstraction
xerces2-j,dom,DOMGenerate,Unutilized Abstraction
xerces2-j,dom,DocumentInfo,Unutilized Abstraction
xerces2-j,dom,DTest,Deficient Encapsulation
xerces2-j,dom,DTest,Insufficient Modularization
xerces2-j,dom.traversal,Errors,Unutilized Abstraction
xerces2-j,dom.traversal,Errors,Unutilized Abstraction
xerces2-j,dom.wrappers,Xerces,Unutilized Abstraction
xerces2-j,sax,DocumentTracer,Insufficient Modularization
xerces2-j,sax,Writer,Insufficient Modularization
xerces2-j,sax.helpers,AttributesImpl,Deficient Encapsulation
xerces2-j,sax.helpers,AttributesImpl,Insufficient Modularization
xerces2-j,sax.helpers,ListNode,Deficient Encapsulation
xerces2-j,socket,DelayedInputStream,Unutilized Abstraction
xerces2-j,socket,KeepSocketOpen,Unutilized Abstraction
xerces2-j,socket,InputStreamReporter,Unutilized Abstraction
xerces2-j,socket.io,WrappedOutputStream,Deficient Encapsulation
xerces2-j,ui,Model,Unutilized Abstraction
xerces2-j,ui,DOMTreeFull,Deficient Encapsulation
xerces2-j,ui,Model,Unutilized Abstraction
xerces2-j,ui,TreeView,Insufficient Modularization
xerces2-j,ui,XMLTreeCellRenderer,Unutilized Abstraction
xerces2-j,ui,FileNameInput,Unutilized Abstraction
xerces2-j,ui,ErrorStorer,Unutilized Abstraction
xerces2-j,ui,ParseError,Unutilized Abstraction
xerces2-j,ui,TreeViewer,Unutilized Abstraction
xerces2-j,xni,DocumentTracer,Insufficient Modularization
xerces2-j,xni,PassThroughFilter,Unutilized Abstraction
xerces2-j,xni,UpperCaseFilter,Unutilized Abstraction
xerces2-j,xni,Writer,Insufficient Modularization
xerces2-j,xni.parser,AbstractConfiguration,Unutilized Abstraction
xerces2-j,xni.parser,CSVConfiguration,Unutilized Abstraction
xerces2-j,xni.parser,CSVParser,Unutilized Abstraction
xerces2-j,xni.parser,NonValidatingParserConfiguration,Unutilized Abstraction
xerces2-j,javax.xml.parsers,DocumentBuilder,Unutilized Abstraction
xerces2-j,javax.xml.parsers,FactoryConfigurationError,Unutilized Abstraction
xerces2-j,javax.xml.parsers,ParserConfigurationException,Unutilized Abstraction
xerces2-j,org.apache.html.dom,HTMLAnchorElementImpl,Unutilized Abstraction
xerces2-j,org.apache.html.dom,HTMLAnchorElementImpl,Broken Hierarchy
xerces2-j,org.apache.html.dom,HTMLAnchorElementImpl,Insufficient Modularization
xerces2-j,org.apache.html.dom,HTMLAppletElementImpl,Unutilized Abstraction
xerces2-j,org.apache.html.dom,HTMLAppletElementImpl,Broken Hierarchy
xerces2-j,org.apache.html.dom,HTMLAppletElementImpl,Insufficient Modularization
xerces2-j,org.apache.html.dom,HTMLAreaElementImpl,Unutilized Abstraction
xerces2-j,org.apache.html.dom,HTMLAreaElementImpl,Broken Hierarchy
xerces2-j,org.apache.html.dom,HTMLBaseElementImpl,Unutilized Abstraction
xerces2-j,org.apache.html.dom,HTMLBaseElementImpl,Broken Hierarchy
xerces2-j,org.apache.html.dom,HTMLBaseFontElementImpl,Unutilized Abstraction
xerces2-j,org.apache.html.dom,HTMLBaseFontElementImpl,Broken Hierarchy
xerces2-j,org.apache.html.dom,HTMLBodyElementImpl,Unutilized Abstraction
